109998150172803072, 5.8446, -0.8081, 2.25125, J002322.70-004829.2, 2.251, 51900, 390, 108
109998152064434176, 5.9065, 0.5243, 2.40871, J002337.54+003127.5, 2.407, 51900, 390, 559
212174998574465024, 5.9101, 15.4731, 2.30394, J002338.43+152823.1, 2.305, 52233, 753, 497
184027122723979264, 6.0492, -9.0199, 2.41643, J002411.80-090111.6, 2.415, 52145, 653, 444
184027122711396352, 6.0930, -9.0924, 2.44467, J002422.31-090532.5, 2.445, 52145, 653, 441
109998149828870144, 6.5378, -0.6304, 2.38935, J002609.07-003749.3, 2.382, 51900, 390, 26
212174996779302912, 6.5612, 14.5181, 3.97296, J002614.69+143105.2, 3.973, 52233, 753, 69
212174998796763136, 6.5649, 15.4538, 2.91438, J002615.58+152713.5, 2.914, 52233, 753, 550
212174996561199104, 6.5778, 14.1630, 4.57202, J002618.67+140946.7, 4.576, 52233, 753, 17
212174999006478336, 6.6137, 15.4129, 3.59005, J002627.28+152446.3, 3.591, 52233, 753, 600
212174998968729600, 6.6512, 15.2131, 3.21640, J002636.27+151247.0, 3.226, 52233, 753, 591
184027123365707776, 6.9385, -9.7676, 2.67170, J002745.23-094603.3, 2.672, 52145, 653, 597
212174999128113152, 6.9408, 15.3787, 3.75026, J002745.80+152243.2, 3.751, 52233, 753, 629
184308601383288832, 7.0049, -10.8261, 2.64891, J002801.18-104934.0, 2.649, 52146, 654, 298
117597636147544064, 7.0849, 15.5663, 2.40233, J002820.38+153358.5, 2.402, 51821, 417, 324
110279120025288704, 7.4056, 0.2369, 2.56126, J002937.33+001412.7, 2.561, 51782, 391, 509
184027123474759680, 7.4432, -9.5947, 3.61184, J002946.37-093540.9, 3.614, 52145, 653, 623
184027123529285632, 7.4562, -9.8625, 2.71367, J002949.47-095144.9, 2.713, 52145, 653, 636
117597635346432000, 7.7595, 14.0335, 2.21793, J003102.28+140200.4, 2.219, 51821, 417, 133
117597635321266176, 7.7892, 13.9103, 2.34409, J003109.39+135436.9, 2.344, 51821, 417, 127
184308601983074304, 7.8040, -8.9832, 2.25267, J003112.95-085859.6, 2.254, 52146, 654, 441
117597636852187136, 7.8617, 15.1277, 4.28320, J003126.80+150739.6, 4.283, 51821, 417, 492
117597636864770048, 7.8706, 15.1133, 2.39738, J003128.95+150647.7, 2.396, 51821, 417, 495
117597635526787072, 7.9443, 14.9221, 3.36465, J003146.62+145519.5, 3.365, 51821, 417, 176
